Parent_Femelle;Parent_Male;N_Fleurs_Polli;N_Fruit_tot;N_Fruit_Mesur;N_Graine;N_Graine_tot;N_Moy_Graine
PIS10;PIS14;24;12;12;34+26+29+27+5+24+11+1+7+17+40+42;263;21,91666667
PIS10;PIS19;21;16;6;41+41+33+35+19+15;184;30,66666667
PIS10;PIS33;8;0;0;no_fruit;NA;NA
PIS14;PIS10;21;16;13;16+4+14+6+5+14+13+0+0+8+9+20+14;123;9,461538462
PIS14;PIS19;20;4;0;NA;NA;NA
PIS14;PIS31;20;5;5;3+6+11+6+5;31;6,2
PIS14;PIS33;20;6;6;29+13+10+9+7+2;70;11,66666667
PIS14;PIS36;22;2;2;9+2;11;5,5
PIS14;PIS40;21;7;5;10+10+21+12+7;60;12
PIS14;SC2;20;5;0;NA;NA;NA
PIS19;PIS10;2;0;0;no_fruit;NA;NA
PIS19;PIS14;23;0;0;no_fruit;NA;NA
PIS19;PIS31;20;8;2;7+7;14;7
PIS19;PIS33;27;18;16;22+4+5+9+17+5+6+22+9+1+35+3+25+11+25+24;223;13,9375
PIS19;PIS36;20;1;0;NA;NA;NA
PIS19;PIS40;20;10;2;4+12;16;8
PIS31;PIS14;20;9;6;10+9+9+5+6+3;42;7
PIS31;PIS19;20;4;0;NA;NA;NA
PIS31;PIS33;20;0;0;no_fruit;NA;NA
PIS31;PIS36;30;6;4;8+1+2+1;12;3
PIS31;PIS40;20;1;0;NA;NA;NA
PIS33;PIS14;12;7;5;22+20+13+11+24;90;18
PIS33;PIS36;3;1;1;23;23;23
PIS33;PIS38;6;0;0;no_fruit;NA;NA
PIS33;PIS40;17;3;0;NA;NA;NA
PIS33;SC2;9;1;0;NA;NA;NA
PIS34;PIS10;12;4;0;NA;NA;NA
PIS34;PIS33;7;4;0;NA;NA;NA
PIS34;PIS34;9;0;0;no_fruit;NA;NA
PIS34;PIS38;8;0;0;no_fruit;NA;NA
PIS34;PIS40;7;1;0;NA;NA;NA
PIS36;PIS10;20;3;3;13+14+6;33;11
PIS36;PIS14;22;9;6;12+15+10+10+8+13;68;11,33333333
PIS36;PIS19;20;13;10;2+10+11+17+13+7+5+4+14+16;99;9,9
PIS36;PIS31;20;9;9;6+3+1+2+4+9+6+5;36;4
PIS36;PIS40;20;1;1;4;4;4
PIS38;PIS14;6;2;2;5+0;5;2,5
PIS38;PIS19;14;3;3;25+11+29;65;21,66666667
PIS38;PIS33;24;3;1;6;6;6
PIS38;PIS34;8;0;0;no_fruit;NA;NA
PIS38;PIS36;3;2;2;13+3;16;8
PIS38;SC2;18;4;4;5+9+4+4;22;5,5
PIS40;PIS10;20;4;0;NA;NA;NA
PIS40;PIS14;20;1;0;NA;NA;NA
PIS40;PIS19;4;0;0;no_fruit;NA;NA
PIS40;PIS36;8;NA;NA;NA;NA;NA
PIS40;SC2;6;1;1;17;17;17
SC2;PIS14;20;2;2;16+11;27;13,5
SC2;PIS31;20;0;0;no_fruit;NA;NA
SC2;PIS33;7;0;0;no_fruit;NA;NA
SC2;PIS40;11;1;1;5;5;5
