Ind;HT-A/HK/PIS10;HT-B/HK/PIS10;S10/HK/PIS10;S16/HK/PIS10
PIS10;0,929140255;0,92082611;1,000721738;1,037155862
PIS10;0,999973892;0,964102367;0,999910739;1,008792053
PIS10;1,070885854;1,115071522;0,999367523;0,954052085
PIS14;0,370081756;0,234274949;;0,383526159
PIS14;0,08893447;0,131523359;;0,197881128
PIS14;0,180951938;0,105573398;;0,179430293
PIS19;4,251519871;9,386065711;;4,3732678
PIS19;3,43194738;8,841718604;;4,765121356
PIS19;1,321130296;9,820822431;;2,497531005
PIS31;0,077474916;0,014714167;;
PIS31;;0,003860302;;
PIS31;0,019759052;0,008114009;;
PIS33;1,287311375;0,571275479;1,88680319;2,12461093
PIS33;0,659729737;0,514456507;1,976718312;0,900135299
PIS33;0,730047956;0,520519386;2,150678381;
PIS34;2,529986226;0,015452846;;
PIS34;;0,015395211;;
PIS34;;0,014744929;;
PIS36;85,6544836;72,38536501;22,33670607;
PIS36;244,0433125;70,15571801;25,00769399;
PIS36;129,9137186;70,11109874;20,10348177;
PIS38;219,7485699;0,991375547;2,409192693;
PIS38;202,9251313;0,710066939;2,453796399;
PIS38;212,3075834;1,057748439;2,460861617;
PIS40;1,334961983;0,007684529;35,97280069;0,001450763
PIS40;1,22967338;0,010390746;30,56848738;0,00149892
PIS40;1,206935254;0,008898261;32,72877722;0,00243626
SC2;7,11686931;2,137695551;3,620694874;3,167622356
SC2;5,818979465;1,937134942;4,610209247;3,301948408
SC2;5,882320885;2,093039524;4,027331894;3,293922336
